fname,fx,run,budget_factor,budget,algname,fid,iid,dim
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.9899673686,3,50,500,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.9198394648,3,100,1000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.8950653003,3,500,5000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.3841824292,3,1000,10000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.3818077701,3,5000,50000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.204139391,3,10000,100000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,352.2479537857,4,10,100,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.1905738888,4,50,500,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.0052249043,4,100,1000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.8488243872,4,500,5000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.8488243872,4,1000,10000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.8488243872,4,5000,50000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.8488243872,4,10000,100000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,3.7453288495,5,10,100,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,3.0117140148,5,50,500,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.5803002611,5,100,1000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.8363495475,5,500,5000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.5989474395,5,1000,10000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.2636970275,5,5000,50000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.263413484,5,10000,100000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,3.943182129,1,10,100,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.8078544446,1,50,500,modcma_bipop,20,4,10
